,Abyssocucumis abyssorum,Acanthascinae,Acanthoptilum,Actinernus,Actiniaria,Actinopterygii,Amphipoda,Apostichopus leukothele,Asbestopluma,Asbestopluma monticola,Asteroidea,Benthocodon pedunculata,Brisingida,Caridea,Ceriantharia,Chionoecetes tanneri,Chorilia longipes,Corallimorphus pilatus,Crinoidea,Delectopecten,Elpidia,Farrea,Florometra serratissima,Funiculina,Gastropoda,Gersemia juliepackardae,Heterocarpus,Heterochone calyx,Heteropolypus ritteri,Hexactinellida,Hippasteria,Holothuroidea,Hormathiidae,Isidella tentaculum,Isididae,Isosicyonis,Keratoisis,Liponema brevicorne,Lithodidae,Mediaster aequalis,Merluccius productus,Metridium farcimen,Microstomus pacificus,Munidopsis,Munnopsidae,Mycale,Octopus rubescens,Ophiacanthidae,Ophiuroidea,Paelopatides confundens,Pandalus amplus,Pandalus platyceros,Pannychia moseleyi,Paragorgia,Paragorgia arborea,Paralomis multispina,Parastenella,Peniagone,Pennatula phosphorea,Porifera,Psathyrometra fragilis,Psolus squamatus,Ptychogastria polaris,Pyrosoma atlanticum,Rathbunaster californicus,Scleractinia,Scotoplanes,Scotoplanes globosa,Sebastes,Sebastes diploproa,Sebastolobus,Serpulidae,Staurocalyptus,Strongylocentrotus fragilis,Terebellidae,Tunicata,Umbellula,Vesicomyidae,Zoantharia
Lithodidae,10.0,9.0,9.0,9.0,7.0,6.0,3.0,10.0,9.0,10.0,6.0,10.0,7.0,2.0,7.0,4.0,4.0,10.0,6.0,9.0,9.0,9.0,10.0,9.0,6.0,10.0,4.0,10.0,10.0,6.0,9.0,6.0,8.0,10.0,8.0,9.0,9.0,10.0,0.0,10.0,11.0,10.0,11.0,3.0,4.0,9.0,10.0,8.0,6.0,10.0,5.0,5.0,10.0,9.0,10.0,2.0,9.0,9.0,10.0,5.0,10.0,10.0,10.0,11.0,10.0,7.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,6.0,9.0,8.0,7.0
Mediaster aequalis,10.0,11.0,11.0,11.0,9.0,8.0,9.0,10.0,11.0,12.0,4.0,12.0,5.0,10.0,9.0,12.0,12.0,12.0,6.0,11.0,9.0,11.0,10.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,3.0,6.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,0.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,10.0,13.0,13.0,10.0,11.0,12.0,12.0,11.0,9.0,12.0,7.0,10.0,10.0,12.0,13.0,8.0,9.0,9.0,10.0,12.0,13.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0
Merluccius productus,13.0,12.0,12.0,12.0,10.0,5.0,10.0,13.0,12.0,13.0,9.0,13.0,10.0,11.0,10.0,13.0,13.0,13.0,9.0,12.0,12.0,12.0,13.0,12.0,9.0,13.0,13.0,13.0,13.0,9.0,12.0,9.0,11.0,13.0,11.0,12.0,12.0,13.0,11.0,13.0,0.0,13.0,8.0,12.0,11.0,12.0,13.0,11.0,9.0,13.0,14.0,14.0,13.0,12.0,13.0,13.0,12.0,12.0,13.0,8.0,13.0,13.0,13.0,12.0,13.0,10.0,12.0,13.0,7.0,8.0,7.0,11.0,12.0,13.0,11.0,7.0,12.0,11.0,10.0
Metridium farcimen,12.0,11.0,9.0,5.0,3.0,8.0,9.0,12.0,11.0,12.0,8.0,10.0,9.0,10.0,5.0,12.0,12.0,8.0,8.0,11.0,11.0,11.0,12.0,9.0,8.0,10.0,12.0,12.0,10.0,8.0,11.0,8.0,4.0,10.0,8.0,5.0,9.0,6.0,10.0,12.0,13.0,0.0,13.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,9.0,10.0,12.0,9.0,11.0,10.0,7.0,12.0,12.0,10.0,13.0,12.0,5.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,9.0,10.0,5.0
Microstomus pacificus,13.0,12.0,12.0,12.0,10.0,5.0,10.0,13.0,12.0,13.0,9.0,13.0,10.0,11.0,10.0,13.0,13.0,13.0,9.0,12.0,12.0,12.0,13.0,12.0,9.0,13.0,13.0,13.0,13.0,9.0,12.0,9.0,11.0,13.0,11.0,12.0,12.0,13.0,11.0,13.0,8.0,13.0,0.0,12.0,11.0,12.0,13.0,11.0,9.0,13.0,14.0,14.0,13.0,12.0,13.0,13.0,12.0,12.0,13.0,8.0,13.0,13.0,13.0,12.0,13.0,10.0,12.0,13.0,7.0,8.0,7.0,11.0,12.0,13.0,11.0,7.0,12.0,11.0,10.0
Munidopsis,11.0,10.0,10.0,10.0,8.0,7.0,4.0,11.0,10.0,11.0,7.0,11.0,8.0,3.0,8.0,5.0,5.0,11.0,7.0,10.0,10.0,10.0,11.0,10.0,7.0,11.0,5.0,11.0,11.0,7.0,10.0,7.0,9.0,11.0,9.0,10.0,10.0,11.0,3.0,11.0,12.0,11.0,12.0,0.0,5.0,10.0,11.0,9.0,7.0,11.0,6.0,6.0,11.0,10.0,11.0,5.0,10.0,10.0,11.0,6.0,11.0,11.0,11.0,12.0,11.0,8.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,7.0,10.0,9.0,8.0
Munnopsidae,10.0,9.0,9.0,9.0,7.0,6.0,3.0,10.0,9.0,10.0,6.0,10.0,7.0,4.0,7.0,6.0,6.0,10.0,6.0,9.0,9.0,9.0,10.0,9.0,6.0,10.0,6.0,10.0,10.0,6.0,9.0,6.0,8.0,10.0,8.0,9.0,9.0,10.0,4.0,10.0,11.0,10.0,11.0,5.0,0.0,9.0,10.0,8.0,6.0,10.0,7.0,7.0,10.0,9.0,10.0,6.0,9.0,9.0,10.0,5.0,10.0,10.0,10.0,11.0,10.0,7.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,6.0,9.0,8.0,7.0
Mycale,11.0,8.0,10.0,10.0,8.0,7.0,8.0,11.0,4.0,5.0,7.0,11.0,8.0,9.0,8.0,11.0,11.0,11.0,7.0,10.0,10.0,8.0,11.0,10.0,7.0,11.0,11.0,9.0,11.0,5.0,10.0,7.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,12.0,11.0,12.0,10.0,9.0,0.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,4.0,11.0,11.0,11.0,12.0,11.0,8.0,10.0,11.0,11.0,12.0,11.0,9.0,8.0,11.0,9.0,7.0,10.0,9.0,8.0
Octopus rubescens,12.0,11.0,11.0,11.0,9.0,8.0,9.0,12.0,11.0,12.0,8.0,12.0,9.0,10.0,9.0,12.0,12.0,12.0,8.0,9.0,11.0,11.0,12.0,11.0,6.0,12.0,12.0,12.0,12.0,8.0,11.0,8.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,12.0,13.0,12.0,13.0,11.0,10.0,11.0,0.0,10.0,8.0,12.0,13.0,13.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,7.0,12.0,12.0,12.0,13.0,12.0,9.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,11.0,8.0,9.0
Ophiacanthidae,8.0,9.0,9.0,9.0,7.0,6.0,7.0,8.0,9.0,10.0,4.0,10.0,5.0,8.0,7.0,10.0,10.0,10.0,4.0,9.0,7.0,9.0,8.0,9.0,6.0,10.0,10.0,10.0,10.0,6.0,7.0,4.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,8.0,11.0,10.0,11.0,9.0,8.0,9.0,10.0,0.0,2.0,8.0,11.0,11.0,8.0,9.0,10.0,10.0,9.0,7.0,10.0,5.0,8.0,8.0,10.0,11.0,8.0,7.0,7.0,8.0,10.0,11.0,10.0,8.0,9.0,8.0,8.0,6.0,9.0,8.0,7.0
Ophiuroidea,6.0,7.0,7.0,7.0,5.0,4.0,5.0,6.0,7.0,8.0,2.0,8.0,3.0,6.0,5.0,8.0,8.0,8.0,2.0,7.0,5.0,7.0,6.0,7.0,4.0,8.0,8.0,8.0,8.0,4.0,5.0,2.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,2.0,0.0,6.0,9.0,9.0,6.0,7.0,8.0,8.0,7.0,5.0,8.0,3.0,6.0,6.0,8.0,9.0,6.0,5.0,5.0,6.0,8.0,9.0,8.0,6.0,7.0,6.0,6.0,4.0,7.0,6.0,5.0
Paelopatides confundens,8.0,11.0,11.0,11.0,9.0,8.0,9.0,6.0,11.0,12.0,6.0,12.0,7.0,10.0,9.0,12.0,12.0,12.0,6.0,11.0,7.0,11.0,10.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,9.0,4.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,0.0,13.0,13.0,8.0,11.0,12.0,12.0,11.0,7.0,12.0,7.0,10.0,8.0,12.0,13.0,10.0,9.0,7.0,8.0,12.0,13.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0
Pandalus amplus,13.0,12.0,12.0,12.0,10.0,9.0,6.0,13.0,12.0,13.0,9.0,13.0,10.0,3.0,10.0,7.0,7.0,13.0,9.0,12.0,12.0,12.0,13.0,12.0,9.0,13.0,3.0,13.0,13.0,9.0,12.0,9.0,11.0,13.0,11.0,12.0,12.0,13.0,5.0,13.0,14.0,13.0,14.0,6.0,7.0,12.0,13.0,11.0,9.0,13.0,0.0,2.0,13.0,12.0,13.0,7.0,12.0,12.0,13.0,8.0,13.0,13.0,13.0,14.0,13.0,10.0,12.0,13.0,13.0,14.0,13.0,11.0,12.0,13.0,11.0,9.0,12.0,11.0,10.0
Pandalus platyceros,13.0,12.0,12.0,12.0,10.0,9.0,6.0,13.0,12.0,13.0,9.0,13.0,10.0,3.0,10.0,7.0,7.0,13.0,9.0,12.0,12.0,12.0,13.0,12.0,9.0,13.0,3.0,13.0,13.0,9.0,12.0,9.0,11.0,13.0,11.0,12.0,12.0,13.0,5.0,13.0,14.0,13.0,14.0,6.0,7.0,12.0,13.0,11.0,9.0,13.0,2.0,0.0,13.0,12.0,13.0,7.0,12.0,12.0,13.0,8.0,13.0,13.0,13.0,14.0,13.0,10.0,12.0,13.0,13.0,14.0,13.0,11.0,12.0,13.0,11.0,9.0,12.0,11.0,10.0
Pannychia moseleyi,8.0,11.0,11.0,11.0,9.0,8.0,9.0,8.0,11.0,12.0,6.0,12.0,7.0,10.0,9.0,12.0,12.0,12.0,6.0,11.0,5.0,11.0,10.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,9.0,4.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,8.0,13.0,13.0,0.0,11.0,12.0,12.0,11.0,5.0,12.0,7.0,10.0,8.0,12.0,13.0,10.0,9.0,5.0,6.0,12.0,13.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0
Paragorgia,11.0,10.0,4.0,8.0,6.0,7.0,8.0,11.0,10.0,11.0,7.0,9.0,8.0,9.0,6.0,11.0,11.0,9.0,7.0,10.0,10.0,10.0,11.0,4.0,7.0,7.0,11.0,11.0,3.0,7.0,10.0,7.0,7.0,5.0,5.0,8.0,4.0,9.0,9.0,11.0,12.0,9.0,12.0,10.0,9.0,10.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,0.0,1.0,11.0,4.0,10.0,5.0,6.0,11.0,11.0,9.0,12.0,11.0,6.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,7.0,4.0,9.0,6.0
Paragorgia arborea,12.0,11.0,5.0,9.0,7.0,8.0,9.0,12.0,11.0,12.0,8.0,10.0,9.0,10.0,7.0,12.0,12.0,10.0,8.0,11.0,11.0,11.0,12.0,5.0,8.0,8.0,12.0,12.0,4.0,8.0,11.0,8.0,8.0,6.0,6.0,9.0,5.0,10.0,10.0,12.0,13.0,10.0,13.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,1.0,0.0,12.0,5.0,11.0,6.0,7.0,12.0,12.0,10.0,13.0,12.0,7.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,5.0,10.0,7.0
Paralomis multispina,12.0,11.0,11.0,11.0,9.0,8.0,5.0,12.0,11.0,12.0,8.0,12.0,9.0,4.0,9.0,6.0,6.0,12.0,8.0,11.0,11.0,11.0,12.0,11.0,8.0,12.0,6.0,12.0,12.0,8.0,11.0,8.0,10.0,12.0,10.0,11.0,11.0,12.0,2.0,12.0,13.0,12.0,13.0,5.0,6.0,11.0,12.0,10.0,8.0,12.0,7.0,7.0,12.0,11.0,12.0,0.0,11.0,11.0,12.0,7.0,12.0,12.0,12.0,13.0,12.0,9.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,11.0,10.0,9.0
Parastenella,11.0,10.0,4.0,8.0,6.0,7.0,8.0,11.0,10.0,11.0,7.0,9.0,8.0,9.0,6.0,11.0,11.0,9.0,7.0,10.0,10.0,10.0,11.0,4.0,7.0,7.0,11.0,11.0,5.0,7.0,10.0,7.0,7.0,5.0,5.0,8.0,4.0,9.0,9.0,11.0,12.0,9.0,12.0,10.0,9.0,10.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,4.0,5.0,11.0,0.0,10.0,5.0,6.0,11.0,11.0,9.0,12.0,11.0,6.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,7.0,4.0,9.0,6.0
Peniagone,7.0,10.0,10.0,10.0,8.0,7.0,8.0,7.0,10.0,11.0,5.0,11.0,6.0,9.0,8.0,11.0,11.0,11.0,5.0,10.0,2.0,10.0,9.0,10.0,7.0,11.0,11.0,11.0,11.0,7.0,8.0,3.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,12.0,11.0,12.0,10.0,9.0,10.0,11.0,7.0,5.0,7.0,12.0,12.0,5.0,10.0,11.0,11.0,10.0,0.0,11.0,6.0,9.0,7.0,11.0,12.0,9.0,8.0,2.0,3.0,11.0,12.0,11.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,8.0
Pennatula phosphorea,12.0,11.0,5.0,9.0,7.0,8.0,9.0,12.0,11.0,12.0,8.0,10.0,9.0,10.0,7.0,12.0,12.0,10.0,8.0,11.0,11.0,11.0,12.0,5.0,8.0,8.0,12.0,12.0,6.0,8.0,11.0,8.0,8.0,6.0,6.0,9.0,5.0,10.0,10.0,12.0,13.0,10.0,13.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,5.0,6.0,12.0,5.0,11.0,0.0,7.0,12.0,12.0,10.0,13.0,12.0,7.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,5.0,10.0,7.0
Porifera,7.0,4.0,6.0,6.0,4.0,3.0,4.0,7.0,4.0,5.0,3.0,7.0,4.0,5.0,4.0,7.0,7.0,7.0,3.0,6.0,6.0,4.0,7.0,6.0,3.0,7.0,7.0,5.0,7.0,1.0,6.0,3.0,5.0,7.0,5.0,6.0,6.0,7.0,5.0,7.0,8.0,7.0,8.0,6.0,5.0,4.0,7.0,5.0,3.0,7.0,8.0,8.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,0.0,7.0,7.0,7.0,8.0,7.0,4.0,6.0,7.0,7.0,8.0,7.0,5.0,4.0,7.0,5.0,3.0,6.0,5.0,4.0
Psathyrometra fragilis,10.0,11.0,11.0,11.0,9.0,8.0,9.0,10.0,11.0,12.0,6.0,12.0,7.0,10.0,9.0,12.0,12.0,12.0,4.0,11.0,9.0,11.0,6.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,9.0,6.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,10.0,13.0,13.0,10.0,11.0,12.0,12.0,11.0,9.0,12.0,7.0,0.0,10.0,12.0,13.0,10.0,9.0,9.0,10.0,12.0,13.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0
Psolus squamatus,6.0,11.0,11.0,11.0,9.0,8.0,9.0,8.0,11.0,12.0,6.0,12.0,7.0,10.0,9.0,12.0,12.0,12.0,6.0,11.0,7.0,11.0,10.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,9.0,4.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,8.0,13.0,13.0,8.0,11.0,12.0,12.0,11.0,7.0,12.0,7.0,10.0,0.0,12.0,13.0,10.0,9.0,7.0,8.0,12.0,13.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0
Ptychogastria polaris,12.0,11.0,9.0,9.0,7.0,8.0,9.0,12.0,11.0,12.0,8.0,6.0,9.0,10.0,7.0,12.0,12.0,10.0,8.0,11.0,11.0,11.0,12.0,9.0,8.0,10.0,12.0,12.0,10.0,8.0,11.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,12.0,13.0,10.0,13.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,9.0,10.0,12.0,9.0,11.0,10.0,7.0,12.0,12.0,0.0,13.0,12.0,7.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,9.0,10.0,7.0
Pyrosoma atlanticum,13.0,12.0,12.0,12.0,10.0,7.0,10.0,13.0,12.0,13.0,9.0,13.0,10.0,11.0,10.0,13.0,13.0,13.0,9.0,12.0,12.0,12.0,13.0,12.0,9.0,13.0,13.0,13.0,13.0,9.0,12.0,9.0,11.0,13.0,11.0,12.0,12.0,13.0,11.0,13.0,12.0,13.0,12.0,12.0,11.0,12.0,13.0,11.0,9.0,13.0,14.0,14.0,13.0,12.0,13.0,13.0,12.0,12.0,13.0,8.0,13.0,13.0,13.0,0.0,13.0,10.0,12.0,13.0,11.0,12.0,11.0,11.0,12.0,13.0,11.0,5.0,12.0,11.0,10.0
Rathbunaster californicus,10.0,11.0,11.0,11.0,9.0,8.0,9.0,10.0,11.0,12.0,4.0,12.0,5.0,10.0,9.0,12.0,12.0,12.0,6.0,11.0,9.0,11.0,10.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,7.0,6.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,8.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,10.0,13.0,13.0,10.0,11.0,12.0,12.0,11.0,9.0,12.0,7.0,10.0,10.0,12.0,13.0,0.0,9.0,9.0,10.0,12.0,13.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0
Scleractinia,9.0,8.0,6.0,4.0,2.0,5.0,6.0,9.0,8.0,9.0,5.0,7.0,6.0,7.0,2.0,9.0,9.0,5.0,5.0,8.0,8.0,8.0,9.0,6.0,5.0,7.0,9.0,9.0,7.0,5.0,8.0,5.0,3.0,7.0,5.0,4.0,6.0,5.0,7.0,9.0,10.0,5.0,10.0,8.0,7.0,8.0,9.0,7.0,5.0,9.0,10.0,10.0,9.0,6.0,7.0,9.0,6.0,8.0,7.0,4.0,9.0,9.0,7.0,10.0,9.0,0.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0,9.0,7.0,5.0,6.0,7.0,2.0
Scotoplanes,7.0,10.0,10.0,10.0,8.0,7.0,8.0,7.0,10.0,11.0,5.0,11.0,6.0,9.0,8.0,11.0,11.0,11.0,5.0,10.0,2.0,10.0,9.0,10.0,7.0,11.0,11.0,11.0,11.0,7.0,8.0,3.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,12.0,11.0,12.0,10.0,9.0,10.0,11.0,7.0,5.0,7.0,12.0,12.0,5.0,10.0,11.0,11.0,10.0,2.0,11.0,6.0,9.0,7.0,11.0,12.0,9.0,8.0,0.0,1.0,11.0,12.0,11.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,8.0
Scotoplanes globosa,8.0,11.0,11.0,11.0,9.0,8.0,9.0,8.0,11.0,12.0,6.0,12.0,7.0,10.0,9.0,12.0,12.0,12.0,6.0,11.0,3.0,11.0,10.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,9.0,4.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,8.0,13.0,13.0,6.0,11.0,12.0,12.0,11.0,3.0,12.0,7.0,10.0,8.0,12.0,13.0,10.0,9.0,1.0,0.0,12.0,13.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0
Sebastes,12.0,11.0,11.0,11.0,9.0,4.0,9.0,12.0,11.0,12.0,8.0,12.0,9.0,10.0,9.0,12.0,12.0,12.0,8.0,11.0,11.0,11.0,12.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,11.0,8.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,12.0,7.0,12.0,7.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,7.0,12.0,12.0,12.0,11.0,12.0,9.0,11.0,12.0,0.0,1.0,2.0,10.0,11.0,12.0,10.0,6.0,11.0,10.0,9.0
Sebastes diploproa,13.0,12.0,12.0,12.0,10.0,5.0,10.0,13.0,12.0,13.0,9.0,13.0,10.0,11.0,10.0,13.0,13.0,13.0,9.0,12.0,12.0,12.0,13.0,12.0,9.0,13.0,13.0,13.0,13.0,9.0,12.0,9.0,11.0,13.0,11.0,12.0,12.0,13.0,11.0,13.0,8.0,13.0,8.0,12.0,11.0,12.0,13.0,11.0,9.0,13.0,14.0,14.0,13.0,12.0,13.0,13.0,12.0,12.0,13.0,8.0,13.0,13.0,13.0,12.0,13.0,10.0,12.0,13.0,1.0,0.0,3.0,11.0,12.0,13.0,11.0,7.0,12.0,11.0,10.0
Sebastolobus,12.0,11.0,11.0,11.0,9.0,4.0,9.0,12.0,11.0,12.0,8.0,12.0,9.0,10.0,9.0,12.0,12.0,12.0,8.0,11.0,11.0,11.0,12.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,11.0,8.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,12.0,7.0,12.0,7.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,7.0,12.0,12.0,12.0,11.0,12.0,9.0,11.0,12.0,2.0,3.0,0.0,10.0,11.0,12.0,10.0,6.0,11.0,10.0,9.0
Serpulidae,10.0,9.0,9.0,9.0,7.0,6.0,7.0,10.0,9.0,10.0,6.0,10.0,7.0,8.0,7.0,10.0,10.0,10.0,6.0,9.0,9.0,9.0,10.0,9.0,6.0,10.0,10.0,10.0,10.0,6.0,9.0,6.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,11.0,10.0,11.0,9.0,8.0,9.0,10.0,8.0,6.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,5.0,10.0,10.0,10.0,11.0,10.0,7.0,9.0,10.0,10.0,11.0,10.0,0.0,9.0,10.0,4.0,6.0,9.0,8.0,7.0
Staurocalyptus,11.0,2.0,10.0,10.0,8.0,7.0,8.0,11.0,8.0,9.0,7.0,11.0,8.0,9.0,8.0,11.0,11.0,11.0,7.0,10.0,10.0,6.0,11.0,10.0,7.0,11.0,11.0,7.0,11.0,3.0,10.0,7.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,12.0,11.0,12.0,10.0,9.0,8.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,4.0,11.0,11.0,11.0,12.0,11.0,8.0,10.0,11.0,11.0,12.0,11.0,9.0,0.0,11.0,9.0,7.0,10.0,9.0,8.0
Strongylocentrotus fragilis,10.0,11.0,11.0,11.0,9.0,8.0,9.0,10.0,11.0,12.0,6.0,12.0,7.0,10.0,9.0,12.0,12.0,12.0,6.0,11.0,9.0,11.0,10.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,9.0,6.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,10.0,13.0,13.0,10.0,11.0,12.0,12.0,11.0,9.0,12.0,7.0,10.0,10.0,12.0,13.0,10.0,9.0,9.0,10.0,12.0,13.0,12.0,10.0,11.0,0.0,10.0,8.0,11.0,10.0,9.0
Terebellidae,10.0,9.0,9.0,9.0,7.0,6.0,7.0,10.0,9.0,10.0,6.0,10.0,7.0,8.0,7.0,10.0,10.0,10.0,6.0,9.0,9.0,9.0,10.0,9.0,6.0,10.0,10.0,10.0,10.0,6.0,9.0,6.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,11.0,10.0,11.0,9.0,8.0,9.0,10.0,8.0,6.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,5.0,10.0,10.0,10.0,11.0,10.0,7.0,9.0,10.0,10.0,11.0,10.0,4.0,9.0,10.0,0.0,6.0,9.0,8.0,7.0
Tunicata,8.0,7.0,7.0,7.0,5.0,2.0,5.0,8.0,7.0,8.0,4.0,8.0,5.0,6.0,5.0,8.0,8.0,8.0,4.0,7.0,7.0,7.0,8.0,7.0,4.0,8.0,8.0,8.0,8.0,4.0,7.0,4.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,8.0,7.0,8.0,7.0,7.0,6.0,7.0,8.0,6.0,4.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,3.0,8.0,8.0,8.0,5.0,8.0,5.0,7.0,8.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,0.0,7.0,6.0,5.0
Umbellula,11.0,10.0,4.0,8.0,6.0,7.0,8.0,11.0,10.0,11.0,7.0,9.0,8.0,9.0,6.0,11.0,11.0,9.0,7.0,10.0,10.0,10.0,11.0,4.0,7.0,7.0,11.0,11.0,5.0,7.0,10.0,7.0,7.0,5.0,5.0,8.0,4.0,9.0,9.0,11.0,12.0,9.0,12.0,10.0,9.0,10.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,4.0,5.0,11.0,4.0,10.0,5.0,6.0,11.0,11.0,9.0,12.0,11.0,6.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,7.0,0.0,9.0,6.0
Vesicomyidae,10.0,9.0,9.0,9.0,7.0,6.0,7.0,10.0,9.0,10.0,6.0,10.0,7.0,8.0,7.0,10.0,10.0,10.0,6.0,5.0,9.0,9.0,10.0,9.0,4.0,10.0,10.0,10.0,10.0,6.0,9.0,6.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,11.0,10.0,11.0,9.0,8.0,9.0,8.0,8.0,6.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,5.0,10.0,10.0,10.0,11.0,10.0,7.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,6.0,9.0,0.0,7.0
Zoantharia,9.0,8.0,6.0,4.0,2.0,5.0,6.0,9.0,8.0,9.0,5.0,7.0,6.0,7.0,2.0,9.0,9.0,5.0,5.0,8.0,8.0,8.0,9.0,6.0,5.0,7.0,9.0,9.0,7.0,5.0,8.0,5.0,3.0,7.0,5.0,4.0,6.0,5.0,7.0,9.0,10.0,5.0,10.0,8.0,7.0,8.0,9.0,7.0,5.0,9.0,10.0,10.0,9.0,6.0,7.0,9.0,6.0,8.0,7.0,4.0,9.0,9.0,7.0,10.0,9.0,2.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0,9.0,7.0,5.0,6.0,7.0,0.0
